Park num,Site name,Municipal,Bus stops 5mins,Bus stops 10mins,Bus stops 20mins,Bus stops 30mins,Number of access points,Haptic access,Visual Access (Viewshed area in m2)
61,Rocky  Point Park,"Port Moody
",14,49,109,166,17,0.4366821676054123,1328461.08
62,Old Orchard Park,"Port Moody
",4,11,49,107,5,0.3666580684301416,1098501.13
63,Old Mill Site Park,"Port Moody
",6,10,69,141,6,0.5223079625000542,1058423.16
64,Terra Nova Park 1,Richmond,0,2,12,24,21,0.4547272012918913,1616804.33
65,Tait Waterfront,Richmond,0,2,48,113,8,0.4284135105929458,312569.47
67,Imperial Landing Park,Richmond,8,21,60,101,15,0.2644781730298292,365602.27
68,North Arm Dyke (riverfront),Richmond,0,18,52,137,9,0.5015644566348778,979015.59
70,Crescent Beach 1,Surrey,4,7,27,46,18,0.4629178704636085,3059259.32
72,Horseshoe Bay Park,West Vancouver,5,11,15,19,9,0.1864068531694483,280035.72
73,Centennial Seawalk,West Vancouver,17,34,90,143,13,0.4121842553728704,2761739.4
74,West Bay Park,West Vancouver,5,10,33,58,2,0.1798920709839532,346608.8
75,Erwin Park,West Vancouver,2,5,23,42,1,0.1039783664515041,1364586.55
76,Caulfield Park 1,West Vancouver,3,13,27,50,6,0.443108120431,1366970.12
77,Gulf Beach Park,West Vancouver,3,8,13,25,1,0.1438555349656413,661056.96
78,Eagle Harbour Beach Park,West Vancouver,0,5,10,21,3,0.3417536344629086,208181.49
79,Larson Bay Park,West Vancouver,0,4,17,23,2,0.2110672311295975,508697.01
80,Bellevue Ave Park,West Vancouver,8,19,46,94,1,0.0523855466428927,3770.7
82,Stearman Beach,West Vancouver,3,8,24,47,1,0.3983636031202175,943204.62
83,Parthenon Park (aka Balmy Beach),West Vancouver,2,4,13,22,1,0.1495239911027529,186800.0
84,Whytecliff Park 1,West Vancouver,0,0,9,17,7,0.5411825337904063,2008581.71
85,Altamont Beach Park,West Vancouver,4,14,43,66,3,0.2467757769127254,1101383.97
86,Sandy Cove Park,West Vancouver,8,11,24,50,1,0.2080107489669978,724005.96
87,Kew Beach Park,West Vancouver,2,6,13,21,1,0.2321379996446092,795667.73
88,Garrow Bay Park,West Vancouver,1,8,17,19,1,0.0416632107493231,378993.5
89,Citrus Park,West Vancouver,0,2,3,5,3,0.0540373781473263,1494419.68
90,Dundarave Park,West Vancouver,8,18,60,107,16,0.3542904895691017,1603341.06
91,Ambleside Park 1,West Vancouver,10,29,74,123,34,0.3880084228761991,2161811.14
93,Memorial Park (including Totem Park parcel),White Rock,30,51,121,171,37,0.4803714442291127,2851033.65
97,Maplewood Farm,North Vancouver - District,11,17,60,110,20,0.4182397039302244,14783.34
98,Sutcliffe Park,Vancouver,9,25,118,269,12,0.1633572090129279,13560.6
99,Gladstone-Riverside Park,Vancouver,5,11,42,91,6,0.4386546470074087,397880.27
100,Kinross Corridor – South,Vancouver,0,6,29,77,3,0.2595816789940438,13882.29
101,New Brighton Park,Vancouver,0,4,26,94,7,0.4252725458935311,506973.47
102,David Lam Park,Vancouver,13,31,126,328,19,0.283031136173705,154409.34
103,Coopers' Park,Vancouver,7,36,207,362,23,0.2825931423000849,125729.13
104,Creekside Park,Vancouver,17,53,206,364,16,0.2733222287185214,150055.95
105,Riverfront Park,Vancouver,5,10,37,99,8,0.2138277167557455,363111.63
