park_num,PARK_NAME,MUNI,park_perimeter_m,shoreline_length_m,shoreline_to_perimeter_ratio,shoreline_to_perimeter_percent
120,Town Centre Park,Coquitlam,2321.31238671994,898.9621367244926,0.3872646102555562,38.72646102555562
121,Como Lake Park,Coquitlam,2577.076597842483,746.0589493634071,0.2894981662508613,28.94981662508613
122,Oxley Street Park,West Vancouver,127.39567324180635,10.188620746630253,0.0799761913993068,7.99761913993068
123,Latimer Park,Surrey,2405.5186006047693,537.8830179106972,0.2236037658471934,22.36037658471934
125,Seymour River Heritage Park,North Vancouver - District,9262.027412377927,4622.419637375156,0.49907211796821904,49.907211796821905
126,Capilano River Regional Park,Metro Vancouver,4610.4107065227245,1761.1038469044906,0.3819841569456954,38.19841569456954
127,Klee Wyck Park - DNV,North Vancouver - District,435.7638094414544,162.61631791094112,0.37317536332210927,37.31753633221093
128,Klee Wyck Park - DWV,West Vancouver,430.84233224362504,118.99467408008938,0.27619076672531423,27.619076672531424
129,Cross's Cabins,Maple Ridge,1367.7118412239784,528.0275649904581,0.38606638406955757,38.60663840695576
130,Davidson's Pool,Maple Ridge,320.461671026862,65.50438441460285,0.20440629983831074,20.440629983831073
131,Coquitlam River Greenway and Natural Areas,Coquitlam,1494.434447662569,637.2940064543689,0.42644493871989797,42.644493871989795
132,Hockaday Park,Coquitlam,409.6207709739717,49.467409157640674,0.12076391790391888,12.076391790391888
134,Marina Park,Langley - Township,460.76497210923867,205.15278120983143,0.4452438740529816,44.52438740529816
135,Bedford Channel Landing,Langley - Township,830.1915573810697,286.48765843625387,0.3450862103922263,34.50862103922263
136,Westwood Park,Port Coquitlam,2371.5711779628487,1066.4485259503936,0.4496801680928085,44.96801680928085
137,Klootchman Park,West Vancouver,697.8290518240974,296.99942747621037,0.4256048479206557,42.56048479206557
138,John Lawson Park,West Vancouver,492.54390790116884,146.775064836726,0.29799386913983933,29.799386913983934
139,Elgin Heritage Park,Surrey,1014.5977892144069,347.3657796570799,0.342367964280744,34.2367964280744
140,National Park,Canada - federal,359.2404236884274,122.4813830706184,0.34094543652149695,34.094543652149696
141,Deep Cove Park,North Vancouver - District,826.7567594361343,300.65046858735406,0.3636504511827688,36.36504511827688
142,Strathcona Park,North Vancouver - District,210.13221385932425,15.916177909827114,0.07574363595903676,7.574363595903676
143,Hume Park,New Westminster,1175.773169074859,453.3947590925501,0.3856141397148036,38.56141397148036
144,Park Site on South East False Creek (Hinge Park),Vancouver,359.8262882274182,32.21115842846838,0.0895186357482314,8.951863574823141
145,"Stanley Park (Seawall, Second Beach, Third Beach)",Vancouver,15240.836486280277,7608.5013429259925,0.4992180940839518,49.92180940839518
146,Lost Lagoon,Vancouver,3917.5126168660436,1670.7003557720566,0.4264696809345809,42.646968093458085
147,Beaver Lake,Vancouver,2264.915348457144,735.6414326569319,0.3247986434274683,32.47986434274683
