park_num,site_name,physical,visual,haptic,component_sum,physical_share,visual_share,haptic_share,ternary_x,ternary_y
50,Sapperton Landing Park,0.461924514039688,0.6281889561523821,0.7541882045490659,1.844301674741136,0.2504603885394851,0.3406107388806411,0.4089288725798738,0.545075175170578,0.35414279199510046
53,Quayside Park,0.31732854014657697,0.33732903544335974,0.28807650329887075,0.9427340788888074,0.33660450730773345,0.357819922921389,0.3055755697708775,0.5106077078068277,0.26463620619748407
54,Waterfront Esplanade and Park,0.3872308255446934,0.4232628440129343,0.7889036860416687,1.5993973555992964,0.2421104575351742,0.26463895449816915,0.4932505879666566,0.5112642484814974,0.42716753961073556
55,Westminster Pier Park,0.4720805999794929,0.3789119434714681,0.747374347035052,1.598366890486013,0.2953518386732523,0.2370619322302484,0.4675862290964992,0.470855046778498,0.40494155285733874
56,Citadel Landing & Traboulay Trail,0.21131005550458695,0.23171159996754423,0.7702222308957573,1.2132438863678885,0.17416947893072837,0.19098517830674894,0.6348453427625227,0.5084078496880102,0.549792194306584
57,Dominion Park,0.07316687740469455,0.5037478612569574,0.5881129878054516,1.1650277264671036,0.0628026919381309,0.4323913069301372,0.5048060011317318,0.6847943074960031,0.4371748209629158
58,Lions Park,0.6817661449515354,0.01939190871231405,0.6126245719142737,1.313782625578123,0.5189337502857657,0.014760363194619616,0.4663058865196147,0.24791330645442697,0.40383274366020994
59,Shaughnessy Park,0.5034464031891558,0.05707957444715885,0.6847249976917795,1.2452509753280943,0.4042931209562069,0.04583780746055608,0.549869071583237,0.3207723432521746,0.47620058474644716
61,Rocky  Point Park,0.7207275375708795,0.9266397676227408,0.7133012015575377,2.360668506751158,0.30530654156214937,0.39253277830948735,0.30216068012836333,0.543613118373669,0.26167882501594647
62,Old Orchard Park,0.21859033918114085,0.7216932304175284,0.5868559431394674,1.5271395127381369,0.14313711180795252,0.47257845429167367,0.3842844339003737,0.6647206712418605,0.3328000820366455
63,Old Mill Site Park,0.14840268555640923,0.8281694292974966,0.8679190529861681,1.844491167840074,0.08045724920992219,0.44899614795515397,0.47054660283492383,0.6842694493726159,0.40750531171951077
64,Terra Nova Park 1,0.09366098797367714,0.6254963602717881,0.7458858256301516,1.4650431738756169,0.06393053095214041,0.42694739064726916,0.5091220784005904,0.6815084298475644,0.4409126535224439
65,Tait Waterfront,0.04863039297722926,0.3613597052777643,0.6983701637430456,1.108360261998039,0.04387598026075325,0.32603091040664145,0.6300931093326054,0.6410774650729442,0.5456766394315621
67,Imperial Landing Park,0.37711338898152547,0.20140077341978524,0.402345704076132,0.9808598664774427,0.38447223897114985,0.2053308329793071,0.4101969280495431,0.41042929700407865,0.3552409602452419
68,North Arm Dyke (riverfront),0.2505386454365656,0.7665840885369889,0.8304616920131436,1.847584425986698,0.13560335425687844,0.41491153408461784,0.4494851116585038,0.6396540899138697,0.3892655253191492
70,Crescent Beach 1,0.1631036385530353,0.8298061623191196,0.7606760377461605,1.7535858386183154,0.09301149391212457,0.47320532821646194,0.4337831778714135,0.6900969171521687,0.37566725177098786
72,Horseshoe Bay Park,0.3900750617044094,0.24949745200158027,0.261369264092568,0.9009417777985577,0.43296367347682996,0.2769296064960211,0.29010672002714893,0.42198296650959555,0.25123978935209074
73,Centennial Seawalk,0.4981886564733546,0.9151971000252628,0.6690643619633069,2.0824501184619244,0.2392319758618331,0.43948092293380725,0.32128710120435955,0.600124473535987,0.27824279155123727
74,West Bay Park,0.1983786212283947,0.29441868266752774,0.2496052667447337,0.7424025706406562,0.2672116572241983,0.3965755161831662,0.3362128265926354,0.5646819294794839,0.29116884890739453
75,Erwin Park,0.11532944144730936,0.7621306780882022,0.11252491726315886,0.9899850367986704,0.11649614606322932,0.7698406034021642,0.11366325053460645,0.8266722286694674,0.09843526243968435
76,Caulfield Park 1,0.17262577774356289,0.8858782502270036,0.7249047962511302,1.7834088242216968,0.09679540405935753,0.4967331316270753,0.4064714643135672,0.6999688637838588,0.352014614009009
77,Gulf Beach Park,0.16463917573993142,0.48152760261646327,0.1845326822631793,0.830699460619574,0.19819343041000162,0.5796652404918112,0.22214132909818707,0.6907359050409048,0.1923800342294693
78,Eagle Harbour Beach Park,0.23033911748861813,0.23269573455428225,0.5418850313272288,1.0049198833701292,0.22921142401536132,0.23155650356315663,0.5392320724214821,0.5011725397738976,0.4669886732523337
79,Larson Bay Park,0.0724179666685788,0.35184533580897354,0.3058994744142104,0.7301627768917627,0.09918057857845833,0.48187246316054005,0.4189469582610017,0.6913459422910408,0.36281870869224636
80,Bellevue Ave Park,0.30931668574182936,0.00267510010664751,0.01936174186995556,0.3313535277184324,0.9334944700050731,0.008073250721267938,0.05843227927365903,0.03728939035809745,0.05060383825201564
82,Stearman Beach,0.07010317055116472,0.6579542162776447,0.6441078688962724,1.3721652557250819,0.05108945169590428,0.4795007113993478,0.4694098369047479,0.7142056298517218,0.4065208435458218
83,Parthenon Park (aka Balmy Beach),0.07459533520954952,0.16063474546672257,0.1947684355185628,0.42999851619483487,0.17347812236577562,0.37357046458722665,0.45295141304699776,0.6000461711107256,0.3922674303787583
