outcome,term,term_label,baseline_family,baseline_N,baseline_beta_SE,baseline_p,controlled_family,controlled_N,controlled_beta_SE,controlled_p
haptic,z_bachelors,Bachelor's degree or higher (%),OLS,105,-0.131 (0.141),0.35505485264612224,OLS,105,0.056 (0.120),0.644290749742871
haptic,z_visible_minority,Visible-minority residents (%),OLS,105,0.115 (0.094),0.22087023381924262,OLS,105,-0.081 (0.082),0.32645860761778767
haptic,z_indigenous,Indigenous identity residents (%),OLS,105,0.076 (0.109),0.4874543030432671,OLS,105,0.070 (0.104),0.5046662529625614
haptic,site_typecoastal waterfront without beach,Coastal waterfront without beach (vs beach),NA,NA,NA,NA,OLS,105,0.157 (0.207),0.45102153502164066
haptic,site_typelakefront,Lakefront (vs beach),NA,NA,NA,NA,OLS,105,-0.036 (0.251),0.884718156472856
haptic,site_typeriverfront,Riverfront (vs beach),NA,NA,NA,NA,OLS,105,0.279 (0.195),0.15467580708682652
haptic,z_log_site_area,Log land-buffer area,NA,NA,NA,NA,OLS,105,0.735*** (0.092),3.68688021770586e-12
multidimensional,(Intercept),(Intercept),OLS,105,0.000 (0.095),0.9999999999999998,SAR_error,105,0.291 (0.155),0.0603388478063458
multidimensional,z_shelter,Principal accommodation expenditure,OLS,105,-0.052 (0.106),0.6244706109391589,SAR_error,105,-0.072 (0.090),0.4231397330382103
multidimensional,z_low_income,Low-income residents (%),OLS,105,0.329** (0.119),0.006943307976214468,SAR_error,105,0.131 (0.090),0.14341934248883526
multidimensional,z_bachelors,Bachelor's degree or higher (%),OLS,105,0.113 (0.116),0.3324712190806737,SAR_error,105,0.094 (0.112),0.4025720645974782
multidimensional,z_visible_minority,Visible-minority residents (%),OLS,105,0.014 (0.106),0.8970749084965968,SAR_error,105,0.013 (0.093),0.891097058306898
multidimensional,z_indigenous,Indigenous identity residents (%),OLS,105,-0.013 (0.110),0.9047503923494127,SAR_error,105,0.077 (0.088),0.3799881890584562
multidimensional,site_typecoastal waterfront without beach,Coastal waterfront without beach (vs beach),NA,NA,NA,NA,SAR_error,105,-0.008 (0.202),0.97027090338712485
multidimensional,site_typelakefront,Lakefront (vs beach),NA,NA,NA,NA,SAR_error,105,-0.028 (0.340),0.9340256602840658
multidimensional,site_typeriverfront,Riverfront (vs beach),NA,NA,NA,NA,SAR_error,105,-0.737** (0.230),0.001332864902157338
multidimensional,z_log_site_area,Log land-buffer area,NA,NA,NA,NA,SAR_error,105,0.584*** (0.077),4.418687638008123e-14
