pair,park_num,site_name,x_dimension,y_dimension,x,y,x_median,y_median,x_level,y_level,quadrant_code,quadrant,x_z,y_z,absolute_standardized_difference,divergence_rank,is_top5_divergence
Physical vs haptic,63,Old Mill Site Park,Physical access,Haptic access,0.1364296694045122,0.5223079625000542,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.6590068775072953,1.3551026493061613,2.0141095268134563,15,FALSE
Physical vs haptic,64,Terra Nova Park 1,Physical access,Haptic access,0.10051015247527947,0.4547272012918913,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.8895656036494214,0.8446420396598611,1.7342076433092823,20,FALSE
Physical vs haptic,65,Tait Waterfront,Physical access,Haptic access,0.07096270892251404,0.4284135105929458,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-1.0792235258231395,0.6458857315612556,1.7251092573843951,21,FALSE
Physical vs haptic,67,Imperial Landing Park,Physical access,Haptic access,0.28650133956343354,0.2644781730298292,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.3042670209148493,-0.5923739574245023,0.8966409783393516,66,FALSE
Physical vs haptic,68,North Arm Dyke (riverfront),Physical access,Haptic access,0.2034475826589227,0.5015644566348778,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,-0.22883503697050614,1.1984198528883465,1.4272548898588526,36,FALSE
Physical vs haptic,70,Crescent Beach 1,Physical access,Haptic access,0.1460759016800114,0.4629178704636085,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.5970900363122469,0.9065089660463146,1.5035990023585615,34,FALSE
Physical vs haptic,72,Horseshoe Bay Park,Physical access,Haptic access,0.2950063191924845,0.1864068531694483,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.3588584363005852,-1.182073345525027,1.5409317818256123,31,FALSE
Physical vs haptic,73,Centennial Seawalk,Physical access,Haptic access,0.36594653970198365,0.4121842553728704,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.8142066222223338,0.5233006146486565,0.29090600757367724,99,FALSE
Physical vs haptic,74,West Bay Park,Physical access,Haptic access,0.1692220661823276,0.1798920709839532,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.4485203822925674,-1.2312817241622152,0.7827613418696477,75,FALSE
Physical vs haptic,75,Erwin Park,Physical access,Haptic access,0.11472820591069102,0.1039783664515041,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.798303343782521,-1.8046839055431267,1.0063805617606056,59,FALSE
Physical vs haptic,76,Caulfield Park 1,Physical access,Haptic access,0.15232398412830866,0.443108120431,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.556985100242296,0.7568791468816745,1.3138642471239703,44,FALSE
Physical vs haptic,77,Gulf Beach Park,Physical access,Haptic access,0.1470834655009328,0.1438555349656413,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.5906227268682973,-1.5034780092674864,0.9128552823991891,65,FALSE
Physical vs haptic,78,Eagle Harbour Beach Park,Physical access,Haptic access,0.19019338488779475,0.3417536344629086,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.31391053952160203,-0.008685960298712337,0.3052245792228897,97,FALSE
Physical vs haptic,79,Larson Bay Park,Physical access,Haptic access,0.0865712522019853,0.2110672311295975,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.9790360466168037,-0.9958050741619419,0.016769027545138204,113,FALSE
Physical vs haptic,80,Bellevue Ave Park,Physical access,Haptic access,0.24201560131821315,0.0523855466428927,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.01872378375168833,-2.1943821241197834,2.213105907871472,9,FALSE
Physical vs haptic,82,Stearman Beach,Physical access,Haptic access,0.08505236692807656,0.3983636031202175,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.9887854052899275,0.4189084999628194,1.407693905252747,37,FALSE
Physical vs haptic,83,Parthenon Park (aka Balmy Beach),Physical access,Haptic access,0.08799996248358327,0.1495239911027529,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.9698654994961293,-1.4606622208126827,0.4907967213165534,91,FALSE
Physical vs haptic,84,Whytecliff Park 1,Physical access,Haptic access,0.08927856920592284,0.5411825337904063,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.9616584309623247,1.497668743493954,2.459327174456279,6,FALSE
Physical vs haptic,85,Altamont Beach Park,Physical access,Haptic access,0.2361291567031874,0.2467757769127254,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,-0.019059886185197532,-0.7260862115126616,0.7070263253274641,79,FALSE
Physical vs haptic,86,Sandy Cove Park,Physical access,Haptic access,0.1579688943230133,0.2080107489669978,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.5207517815637086,-1.0188917295976196,0.49813994803391104,90,FALSE
Physical vs haptic,87,Kew Beach Park,Physical access,Haptic access,0.11163901840303972,0.2321379996446092,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.8181320942075748,-0.8366503509891909,0.018518256781616116,112,FALSE
Physical vs haptic,88,Garrow Bay Park,Physical access,Haptic access,0.12491703848577693,0.0416632107493231,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.732903681977064,-2.2753715953718894,1.5424679133948254,30,FALSE
Physical vs haptic,89,Citrus Park,Physical access,Haptic access,0.2752620073833523,0.0540373781473263,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.2321244552107207,-2.181905275654154,2.414029730864875,8,FALSE
Physical vs haptic,90,Dundarave Park,Physical access,Haptic access,0.43665181317797863,0.3542904895691017,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,1.2680467397348574,0.08600919533652322,1.1820375443983342,51,FALSE
Physical vs haptic,91,Ambleside Park 1,Physical access,Haptic access,0.43643297764261935,0.3880084228761991,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,1.2666420871509578,0.3406922809404077,0.9259498062105501,63,FALSE
Physical vs haptic,93,Memorial Park (including Totem Park parcel),Physical access,Haptic access,0.5861941651845751,0.4803714442291127,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,2.2279230724501926,1.0383417797875398,1.1895812926626528,50,FALSE
Physical vs haptic,97,Maplewood Farm,Physical access,Haptic access,0.33513782391163716,0.4182397039302244,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.616452897396591,0.5690394892485978,0.04741340814799322,111,FALSE
Physical vs haptic,98,Sutcliffe Park,Physical access,Haptic access,0.4480148263804059,0.1633572090129279,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,1.3409831841266153,-1.3561751934167094,2.6971583775433245,5,TRUE
Physical vs haptic,99,Gladstone-Riverside Park,Physical access,Haptic access,0.1976286167284997,0.4386546470074087,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,-0.2661855774865703,0.7232405385231845,0.9894261160097548,60,FALSE
Physical vs haptic,100,Kinross Corridor – South,Physical access,Haptic access,0.16820553880419614,0.2595816789940438,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.4550452266509236,-0.6293588520299005,0.17431362537897688,105,FALSE
Physical vs haptic,101,New Brighton Park,Physical access,Haptic access,0.09668957829802576,0.4252725458935311,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.9140889489152991,0.6221609506224596,1.5362498995377587,32,FALSE
Physical vs haptic,102,David Lam Park,Physical access,Haptic access,0.5479418452321281,0.283031136173705,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,1.9823906456752753,-0.45223707959329673,2.434627725268572,7,FALSE
Physical vs haptic,103,Coopers' Park,Physical access,Haptic access,0.6331176222820895,0.2825931423000849,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,2.5291134396787394,-0.45554539716404424,2.9846588368427835,3,TRUE
Physical vs haptic,104,Creekside Park,Physical access,Haptic access,0.6952169468143159,0.2733222287185214,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,2.927714044097905,-0.5255717791434685,3.4532858232413735,2,TRUE
Physical vs haptic,105,Riverfront Park,Physical access,Haptic access,0.17124942925001177,0.2138277167557455,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.4355072271537118,-0.974954181830277,0.5394469546765652,89,FALSE
Physical vs haptic,106,Deering Island Park,Physical access,Haptic access,0.06611359981044786,0.3369290754771722,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-1.1103487890610837,-0.04512750486119132,1.0652212841998925,56,FALSE
Physical vs haptic,108,Charleson Park,Physical access,Haptic access,0.3975657394556431,0.458285114599974,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,1.0171626483626572,0.8715161760833675,0.14564647227928973,108,FALSE
Physical vs haptic,110,Hadden Park,Physical access,Haptic access,0.12732019682148246,0.3279058520646511,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.7174783875420162,-0.11328299825586981,0.6041953892861464,83,FALSE
Physical vs haptic,111,Vanier Park,Physical access,Haptic access,0.11661419911096184,0.4454690013461079,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.7861976077665316,0.7747116881209809,1.5609092958875124,29,FALSE
Physical vs haptic,112,George Wainborn Park,Physical access,Haptic access,0.5831230455108648,0.4109809630528401,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,2.208210295098657,0.5142117360938054,1.6939985590048514,22,FALSE
Physical vs haptic,113,Habitat Island Park,Physical access,Haptic access,0.33584417078210427,0.5354324457108353,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.6209867677988635,1.454236361050425,0.8332495932515614,70,FALSE
Physical vs haptic,114,CRAB Park at Portside,Physical access,Haptic access,0.39055993260891153,0.3278107654631854,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.9721940619152805,-0.11400121988708058,1.086195281802361,55,FALSE
Physical vs haptic,115,Volunteer Park,Physical access,Haptic access,0.19441198256860728,0.197278463811733,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,-0.2868323772704082,-1.099956351027079,0.8131239737566707,73,FALSE
Physical vs haptic,116,LYNN CANYON PARK,Physical access,Haptic access,0.32613774938332185,0.4562419927823264,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.558683587121045,0.8560837780166218,0.2974001908955768,98,FALSE
Physical vs haptic,118,Maple Ridge Park,Physical access,Haptic access,0.17141026981141494,0.3448119063249294,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.43447483033662326,0.014414213348972506,0.4488890436855958,94,FALSE
Physical vs haptic,119,Galette Park,Physical access,Haptic access,0.0895521656265059,0.3377746936107095,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.9599022814480938,-0.038740261801826804,0.921162019646267,64,FALSE
Physical vs haptic,120,Town Centre Park,Physical access,Haptic access,0.5515370628544324,0.3872646102555562,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,2.005467481503421,0.33507400974890006,1.670393471754521,23,FALSE
Physical vs haptic,121,Como Lake Park,Physical access,Haptic access,0.3031754019339974,0.2894981662508613,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.41129381048291486,-0.40338938896699744,0.8146831994499123,72,FALSE
Physical vs haptic,122,Oxley Street Park,Physical access,Haptic access,0.1805676118640685,0.0799761913993068,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.3756960577081622,-1.985980545162835,1.6102844874546727,26,FALSE
Physical vs haptic,123,Latimer Park,Physical access,Haptic access,0.1311765721555443,0.2236037658471934,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.6927252432751007,-0.9011123385313901,0.2083870952562894,104,FALSE
Physical vs haptic,125,Seymour River Heritage Park,Physical access,Haptic access,0.08490566037735849,0.499072117968219,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.9897270792973176,1.179594366278201,2.1693214455755188,12,FALSE
Physical vs haptic,126,Capilano River Regional Park,Physical access,Haptic access,0.198607201620196,0.3819841569456954,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,-0.25990427680828065,0.2951889393890415,0.5550932161973221,86,FALSE
Physical vs haptic,127,Klee Wyck Park - DNV,Physical access,Haptic access,0.0746927224846371,0.3731753633221092,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-1.0552814673296955,0.22865310754935644,1.283934574879052,48,FALSE
Physical vs haptic,128,Klee Wyck Park - DWV,Physical access,Haptic access,0.09392770785859632,0.2761907667253142,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.9318167299302552,-0.5039047302146951,0.42791199971556015,95,FALSE
Physical vs haptic,129,Cross's Cabins,Physical access,Haptic access,0.0756075829088142,0.3860663840695575,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-1.0494091986571608,0.32602339743757897,1.3754325960947398,40,FALSE
Physical vs haptic,130,Davidson's Pool,Physical access,Haptic access,0.03905320846939258,0.2044062998383107,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-1.28404292221975,-1.0461173669946493,0.23792555522510073,102,FALSE
Physical vs haptic,131,Coquitlam River Greenway and Natural Areas,Physical access,Haptic access,0.09907171237832008,0.4264449387198979,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.8987986041109841,0.6310164347305592,1.5298150388415435,33,FALSE
Physical vs haptic,132,Hockaday Park,Physical access,Haptic access,0.08252848650934203,0.1207639179039188,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-1.0049855856939383,-1.677896892871627,0.6729113071776887,82,FALSE
Physical vs haptic,134,Marina Park,Physical access,Haptic access,0.08439522686813475,0.4452438740529816,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.9930034290293793,0.7730112246570774,1.7660146536864567,19,FALSE
Physical vs haptic,135,Bedford Channel Landing,Physical access,Haptic access,0.11322609106209192,0.3450862103922263,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.8079450571355847,0.016486125812188727,0.8244311829477735,71,FALSE
Physical vs haptic,136,Westwood Park,Physical access,Haptic access,0.277231341144887,0.4496801680928085,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.24476513421268684,0.806520071252708,0.5617549370400211,84,FALSE
Physical vs haptic,137,Klootchman Park,Physical access,Haptic access,0.09096040894091108,0.4256048479206557,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.9508631068593293,0.6246709415180972,1.5755340483774265,28,FALSE
Physical vs haptic,138,John Lawson Park,Physical access,Haptic access,0.4015446340334604,0.2979938691398393,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,1.0427022141403022,-0.33921843855814465,1.3819206526984469,38,FALSE
Physical vs haptic,139,Elgin Heritage Park,Physical access,Haptic access,0.12600438387839982,0.342367964280744,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.7259242738437766,-0.004045717014528984,0.7218785568292476,78,FALSE
Physical vs haptic,140,National Park,Physical access,Haptic access,0.05321834165642424,0.3409454365214969,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-1.1931203446786902,-0.014790555845026792,1.1783297888336635,52,FALSE
Physical vs haptic,141,Deep Cove Park,Physical access,Haptic access,0.2622336926271273,0.3636504511827688,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.1484988413169743,0.1567081875668943,0.008209346249920008,114,FALSE
Physical vs haptic,142,Strathcona Park,Physical access,Haptic access,0.0619349180707778,0.0757436359590367,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-1.1371707405018507,-2.0179504844144374,0.8807797439125866,68,FALSE
Physical vs haptic,143,Hume Park,Physical access,Haptic access,0.36197380036503185,0.3856141397148036,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.7887065654530043,0.32260744110755646,0.46609912434544787,93,FALSE
Physical vs haptic,144,Park Site on South East False Creek (Hinge Park),Physical access,Haptic access,0.660377358490566,0.0895186357482314,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,2.704087119519121,-1.913903198403391,4.617990317922512,1,TRUE
Physical vs haptic,145,"Stanley Park (Seawall, Second Beach, Third Beach)",Physical access,Haptic access,0.19939639383402316,0.4992180940839518,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,-0.2548386421044577,1.1806969738206234,1.4355356159250812,35,FALSE
Physical vs haptic,146,Lost Lagoon,Physical access,Haptic access,0.2722300960167836,0.4264696809345809,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.21266334653742963,0.6312033211426871,0.41853997460525744,96,FALSE
Physical vs haptic,147,Beaver Lake,Physical access,Haptic access,0.0977648929411352,0.3247986434274683,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.9071867632649259,-0.1367528081082486,0.7704339551566772,76,FALSE
Physical vs visual,2,Drummond Walk Dog off leash trail,Physical access,Visual access,0.08192907861458498,0.8455282390624564,0.19230268372820103,0.3496477520593829,Low,High,LH,Low-high,-1.0088330405727717,1.2792843903609277,2.288117430933699,9,FALSE
Physical vs visual,6,Burnaby Fraser Foreshore Park,Physical access,Visual access,0.22730246489765135,0.1727387037712925,0.19230268372820103,0.3496477520593829,High,Low,HL,High-low,-0.0757162945311938,-0.7451241022999676,0.6694078077687738,77,FALSE
Physical vs visual,7,Deer lake (lakefront),Physical access,Visual access,0.3208954445253507,0.994904881277802,0.19230268372820103,0.3496477520593829,High,High,HH,High-high,0.5250344951111562,1.7287553277693757,1.2037208326582194,47,FALSE
Physical vs visual,8,Burnaby Lake,Physical access,Visual access,0.2065336942999677,0.9712974466865992,0.19230268372820103,0.3496477520593829,High,High,HH,High-high,-0.2090260297922206,1.6577210911032467,1.8667471208954673,22,FALSE
