catchment_min,outcome,specification,family,N,term,estimate,std_error,statistic,p_value,conf_low,conf_high,inference,term_label,significance
5,physical,controlled,OLS,90,z_shelter,-0.4251149457672538,0.20694929188587527,-2.054198600503976,0.04322200372601164,-0.8307355578635693,-0.01949433367093828,HC3 robust,Principal accommodation expenditure,*
5,physical,controlled,OLS,90,z_low_income,0.01676609296856715,0.17708871693642786,0.09467623493249387,0.9248087320674934,-0.33032779222683145,0.3638599781639657,HC3 robust,Low-income residents (%),
5,physical,controlled,OLS,90,z_bachelors,0.042178895757298544,0.18905153867463304,0.2231079210092571,0.8240202078315896,-0.32836212004498216,0.41271991155957927,HC3 robust,Bachelor's degree or higher (%),
5,physical,controlled,OLS,90,z_visible_minority,0.008662409221592407,0.14204307110523687,0.060984384202553615,0.9515237429643897,-0.26974201014467186,0.28706682858785665,HC3 robust,Visible-minority residents (%),
5,physical,controlled,OLS,90,z_indigenous,-0.08634836649795403,0.11545379300251225,-0.747904111700125,0.4567109494034597,-0.31263780078287806,0.13994106778696996,HC3 robust,Indigenous identity residents (%),
5,visual,controlled,SAR_lag,90,z_shelter,0.17606773144985982,0.10136029414614613,1.737048347511669,0.08237863739278684,-0.022598445076586593,0.37473390797630624,SAR model-based,Principal accommodation expenditure,
5,visual,controlled,SAR_lag,90,z_low_income,0.010847663393954465,0.10341054022102866,0.10489901097865631,0.9164559437643849,-0.19183699543926172,0.21353232222717064,SAR model-based,Low-income residents (%),
5,visual,controlled,SAR_lag,90,z_bachelors,-0.1456501026558889,0.11233842508018728,-1.2965296829817912,0.194793060449568,-0.36583341581305595,0.07453321050127817,SAR model-based,Bachelor's degree or higher (%),
5,visual,controlled,SAR_lag,90,z_visible_minority,0.0701591807693379,0.09444806306580064,0.7428334525024508,0.4575825195693355,-0.11495902283963134,0.25527738437830716,SAR model-based,Visible-minority residents (%),
5,visual,controlled,SAR_lag,90,z_indigenous,-0.009565905487665038,0.08973513934920162,-0.10660155605753954,0.9151050840659323,-0.1854467786121002,0.16631496763677014,SAR model-based,Indigenous identity residents (%),
5,haptic,controlled,OLS,90,z_shelter,0.10628811082315962,0.10733566317837358,0.9902404072961928,0.32504228152734116,-0.1040897890064526,0.31666601065277183,HC3 robust,Principal accommodation expenditure,
5,haptic,controlled,OLS,90,z_low_income,0.09470558090530896,0.09219218394424669,1.027262581853818,0.3073928724592709,-0.08599109962541455,0.27540226143603247,HC3 robust,Low-income residents (%),
5,haptic,controlled,OLS,90,z_bachelors,0.05605949113667863,0.10483119058310746,0.5347596533517962,0.5942992838091468,-0.149409642406212,0.2615286246795693,HC3 robust,Bachelor's degree or higher (%),
5,haptic,controlled,OLS,90,z_visible_minority,-0.023324168953440083,0.08408509514209096,-0.277387673927535,0.782197982552214,-0.18813095543193836,0.1414826175250582,HC3 robust,Visible-minority residents (%),
5,haptic,controlled,OLS,90,z_indigenous,0.05531542008142665,0.09631592919033163,0.5743122715674253,0.5673679023715514,-0.13346380113162334,0.24409464129447664,HC3 robust,Indigenous identity residents (%),
5,multidimensional,controlled,SAR_error,90,z_shelter,-0.005797208543413466,0.10189636188979204,-0.056893184760448544,0.9546302832945153,-0.20551407784740586,0.1939196607605789,SAR model-based,Principal accommodation expenditure,
5,multidimensional,controlled,SAR_error,90,z_low_income,0.08506866713566708,0.10395241766827627,0.8183423632063148,0.4131617227736233,-0.11867807149415441,0.2888154057654886,SAR model-based,Low-income residents (%),
5,multidimensional,controlled,SAR_error,90,z_bachelors,-0.027699045978717182,0.11531707681177357,-0.24019899519243781,0.8101759926033534,-0.2537205165297934,0.198322424572359,SAR model-based,Bachelor's degree or higher (%),
5,multidimensional,controlled,SAR_error,90,z_visible_minority,0.025793284066312046,0.0986360915898141,0.2614994537047903,0.7937073707473117,-0.1675334554497236,0.21912002358234767,SAR model-based,Visible-minority residents (%),
5,multidimensional,controlled,SAR_error,90,z_indigenous,-0.032276876449353877,0.09279313780145107,-0.3478368898184747,0.7279626834854032,-0.21415142654019798,0.14959767364149024,SAR model-based,Indigenous identity residents (%),
10,pedestrian,controlled,SAR_lag,105,z_shelter,-0.2831558877940918,0.10150548805601599,-2.789562349947342,0.0052779332830761305,-0.4821066443838831,-0.08420513120430045,SAR model-based,Principal accommodation expenditure,**
10,pedestrian,controlled,SAR_lag,105,z_low_income,0.08199302719117765,0.10700981057116127,0.7662197209166396,0.44354557603626943,-0.12774620152829844,0.29173225591065377,SAR model-based,Low-income residents (%),
10,pedestrian,controlled,SAR_lag,105,z_bachelors,0.15185591895660888,0.12660084093089202,1.1994858631271093,0.23033907846602797,-0.09628172926793949,0.39999356718115725,SAR model-based,Bachelor's degree or higher (%),
10,pedestrian,controlled,SAR_lag,105,z_visible_minority,-0.0014659962601591794,0.10263862297404933,-0.014283085817800138,0.988604133818545,-0.20263769728929584,0.1997057047689775,SAR model-based,Visible-minority residents (%),
10,pedestrian,controlled,SAR_lag,105,z_indigenous,-0.015788554270380065,0.09895050405896123,-0.15956011968339448,0.8732275962792506,-0.20973154222594406,0.17815443368518394,SAR model-based,Indigenous identity residents (%),
10,transit,controlled,SAR_error,105,z_shelter,-0.22158302389147533,0.10380869138568258,-2.1345324840694055,0.032799217500034006,-0.42504805900741316,-0.01811798877553747,SAR model-based,Principal accommodation expenditure,*
10,transit,controlled,SAR_error,105,z_low_income,0.2996504049888788,0.10176249506998108,2.9446055227204493,0.0032336665686700794,0.10019591465171587,0.49910489532604174,SAR model-based,Low-income residents (%),**
10,transit,controlled,SAR_error,105,z_bachelors,-0.01425550644145228,0.13166220862478445,-0.1082733351532794,0.913778873713446,-0.2723134353460298,0.24380242246312522,SAR model-based,Bachelor's degree or higher (%),
10,transit,controlled,SAR_error,105,z_visible_minority,4.044595457416528e-4,0.10764248184577775,0.0037574342286266936,0.9970020082951785,-0.21057480487198274,0.21138372396346602,SAR model-based,Visible-minority residents (%),
10,transit,controlled,SAR_error,105,z_indigenous,0.004749024388301056,0.1006466386864463,0.04718512660016523,0.9623656815720807,-0.1925183874371337,0.2020164362137358,SAR model-based,Indigenous identity residents (%),
10,physical,controlled,SAR_error,105,z_shelter,-0.28517656924171153,0.10141351767455536,-2.812017330439789,0.004923185066400437,-0.48394706388384,-0.08640607459958302,SAR model-based,Principal accommodation expenditure,**
10,physical,controlled,SAR_error,105,z_low_income,0.27504369506523496,0.0992006418909708,2.7725999532092676,0.005561043819833467,0.08061043695893219,0.4694769531715377,SAR model-based,Low-income residents (%),**
10,physical,controlled,SAR_error,105,z_bachelors,0.08462128825845515,0.12903206130675657,0.6558159840388761,0.5119425307053345,-0.1682815519027877,0.33752412841969803,SAR model-based,Bachelor's degree or higher (%),
10,physical,controlled,SAR_error,105,z_visible_minority,-0.017521841755775154,0.10526397656999192,-0.16645620208091383,0.8677979479353313,-0.2238392358329593,0.18879555232140902,SAR model-based,Visible-minority residents (%),
10,physical,controlled,SAR_error,105,z_indigenous,-0.012561303119491203,0.09827502158873096,-0.12781786171524573,0.8982931144040993,-0.20518034543340385,0.18005773919442147,SAR model-based,Indigenous identity residents (%),
10,visual,controlled,SAR_lag,105,z_shelter,0.0878446764317652,0.09540737859169644,0.920732523295746,0.3571900916163582,-0.09915378560795983,0.2748431384714902,SAR model-based,Principal accommodation expenditure,
10,visual,controlled,SAR_lag,105,z_low_income,-0.06831002070876123,0.09915966469622184,-0.6888891861225098,0.49089300507548783,-0.26266296351335605,0.12604292209583356,SAR model-based,Low-income residents (%),
10,visual,controlled,SAR_lag,105,z_bachelors,-0.030806869139200006,0.11712805430350819,-0.26301870480467193,0.7925361622007483,-0.26037785557407606,0.19876411729567603,SAR model-based,Bachelor's degree or higher (%),
10,visual,controlled,SAR_lag,105,z_visible_minority,0.106515331183574,0.09621609762477557,1.1070427279119497,0.26827545528098784,-0.0820682201609861,0.2950988825281341,SAR model-based,Visible-minority residents (%),
10,visual,controlled,SAR_lag,105,z_indigenous,0.08089838997686326,0.0936060621058921,0.8642430645714669,0.38745437970025476,-0.10256949175068526,0.2643662717044118,SAR model-based,Indigenous identity residents (%),
10,haptic,controlled,OLS,105,z_shelter,0.020224337130015143,0.09326333801632707,0.2168519544783459,0.8287887358877274,-0.1625718053819859,0.2030204796420162,HC3 robust,Principal accommodation expenditure,
10,haptic,controlled,OLS,105,z_low_income,0.015858049075906336,0.07856547154486426,0.20184501873511582,0.8404694788948395,-0.13813027515202764,0.16984637330384028,HC3 robust,Low-income residents (%),
10,haptic,controlled,OLS,105,z_bachelors,0.055695229157102025,0.12024388784443973,0.4631855319677894,0.644290749742871,-0.17998279101799985,0.2913732493322039,HC3 robust,Bachelor's degree or higher (%),
10,haptic,controlled,OLS,105,z_visible_minority,-0.0807669336285353,0.08188325014999362,-0.9863669734724324,0.32645860761778767,-0.24125810392252278,0.07972423666545218,HC3 robust,Visible-minority residents (%),
10,haptic,controlled,OLS,105,z_indigenous,0.06972571045302427,0.10411305546281013,0.6697114991302003,0.5046662529625614,-0.1343358782540836,0.2737872991601321,HC3 robust,Indigenous identity residents (%),
10,multidimensional,controlled,SAR_error,105,z_shelter,-0.07214943928882236,0.09007577726737447,-0.8009860306246279,0.4231397330382103,-0.2486979627328763,0.10439908415523158,SAR model-based,Principal accommodation expenditure,
10,multidimensional,controlled,SAR_error,105,z_low_income,0.13101307994723896,0.0895402316800732,1.4631755746997397,0.14341934248883526,-0.04448577414570451,0.3065119340401824,SAR model-based,Low-income residents (%),
10,multidimensional,controlled,SAR_error,105,z_bachelors,0.09401585721049212,0.11231990455128582,0.8370364770704022,0.4025720645974782,-0.1261311557100281,0.3141628701310123,SAR model-based,Bachelor's degree or higher (%),
10,multidimensional,controlled,SAR_error,105,z_visible_minority,0.012702692224136706,0.09277715211736437,0.13691616884367852,0.891097058306898,-0.16914052592589746,0.19454591037417085,SAR model-based,Visible-minority residents (%),
10,multidimensional,controlled,SAR_error,105,z_indigenous,0.07690964978954856,0.08760458809028292,0.8779180573315128,0.3799881890584562,-0.09479534286740596,0.24861464244650308,SAR model-based,Indigenous identity residents (%),
20,pedestrian,controlled,SAR_error,112,z_shelter,-0.49525812428269533,0.12948696764420334,-3.8247719696667577,1.3089318037828868e-4,-0.7490525808653339,-0.24146366770005678,SAR model-based,Principal accommodation expenditure,***
20,pedestrian,controlled,SAR_error,112,z_low_income,-0.07838069879788334,0.13029394320530197,-0.6015682453817535,0.5474615716031879,-0.3337568274802752,0.1769954298845085,SAR model-based,Low-income residents (%),
20,pedestrian,controlled,SAR_error,112,z_bachelors,0.34481612553204766,0.1326270406756249,2.599893081949919,0.00932528098034946,0.08486712580782285,0.6047651252562725,SAR model-based,Bachelor's degree or higher (%),**
20,pedestrian,controlled,SAR_error,112,z_visible_minority,0.07802843916671347,0.11626798874487927,0.6711085313252229,0.5021513924892043,-0.1498568187732499,0.3059136971066768,SAR model-based,Visible-minority residents (%),
20,pedestrian,controlled,SAR_error,112,z_indigenous,0.04920690887574171,0.08926091526774892,0.5512704942374793,0.581448261817548,-0.12574448504904617,0.22415830280052956,SAR model-based,Indigenous identity residents (%),
20,transit,controlled,SAR_error,112,z_shelter,-0.09442933078625422,0.1372004640098622,-0.6882581007850417,0.4912902618673325,-0.3633422402455841,0.17448357867307568,SAR model-based,Principal accommodation expenditure,
20,transit,controlled,SAR_error,112,z_low_income,0.2459295415837754,0.10858076252180711,2.2649457958483525,0.02351600599686421,0.033111247041033465,0.4587478361265173,SAR model-based,Low-income residents (%),*
