park_num,PARK_NAME,MUNI,access_point_count,routing_origin_point_count,origin_node_count,avg_snap_distance_m,max_snap_distance_m,far_snap_count_gt_50m,reachable_node_count_30min,status,bus_stops_05min,bus_stops_10min,bus_stops_20min,bus_stops_30min
114,CRAB Park at Portside,Vancouver,6,6,6,0.0,0.0,0,17369,success,2,33,165,256
115,Volunteer Park,Vancouver,1,1,1,0.0,0.0,0,11142,success,6,17,57,108
116,LYNN CANYON PARK,North Vancouver - District,14,14,14,0.0,0.0,0,12062,success,7,32,77,144
118,Maple Ridge Park,Maple Ridge,8,8,8,0.0,0.0,0,6015,success,9,13,31,47
119,Galette Park,Coquitlam,2,2,2,0.0,0.0,0,6220,success,0,0,9,37
120,Town Centre Park,Coquitlam,25,25,25,0.0,0.0,0,32194,success,19,43,107,187
121,Como Lake Park,Coquitlam,15,15,15,0.0,0.0,0,15785,success,6,24,71,145
122,Oxley Street Park,West Vancouver,1,1,1,0.0,0.0,0,2094,success,3,8,28,52
123,Latimer Park,Surrey,12,12,12,0.0,0.0,0,4067,success,4,7,18,33
125,Seymour River Heritage Park,North Vancouver - District,3,3,3,0.0,0.0,0,11907,success,1,9,53,108
126,Capilano River Regional Park,Metro Vancouver,11,11,11,0.0,0.0,0,14521,success,6,18,71,145
127,Klee Wyck Park - DNV,North Vancouver - District,1,1,1,0.0,0.0,0,11269,success,1,5,38,110
128,Klee Wyck Park - DWV,West Vancouver,1,1,1,0.0,0.0,0,12074,success,1,7,46,123
129,Cross's Cabins,Maple Ridge,6,6,6,0.0,0.0,0,3565,success,1,2,13,20
130,Davidson's Pool,Maple Ridge,1,1,1,0.58,0.58,0,2168,success,0,0,11,28
131,Coquitlam River Greenway and Natural Areas,Coquitlam,2,2,2,0.0,0.0,0,16122,success,4,9,45,96
132,Hockaday Park,Coquitlam,2,2,2,0.0,0.0,0,8562,success,0,2,15,53
134,Marina Park,Langley - Township,2,2,2,0.0,0.0,0,3458,success,0,3,12,18
135,Bedford Channel Landing,Langley - Township,7,7,7,0.0,0.0,0,3517,success,0,0,8,16
136,Westwood Park,Port Coquitlam,11,11,11,0.0,0.0,0,34632,success,8,23,112,238
137,Klootchman Park,West Vancouver,1,1,1,0.0,0.0,0,2548,success,3,8,15,28
138,John Lawson Park,West Vancouver,8,8,8,0.0,0.0,0,7646,success,9,19,61,121
139,Elgin Heritage Park,Surrey,4,4,4,0.0,0.0,0,3561,success,2,8,14,28
140,National Park,Canada - federal,1,1,1,0.68,0.68,0,3155,success,0,2,10,16
141,Deep Cove Park,North Vancouver - District,13,13,13,0.0,0.0,0,9501,success,4,5,12,38
142,Strathcona Park,North Vancouver - District,1,1,1,0.0,0.0,0,8224,success,0,0,18,39
143,Hume Park,New Westminster,11,11,11,0.0,0.0,0,22452,success,3,25,83,173
144,Park Site on South East False Creek (Hinge Park),Vancouver,13,13,13,0.0,0.0,0,26514,success,1,17,126,329
145,"Stanley Park (Seawall, Second Beach, Third Beach)",Vancouver,99,99,99,0.0,0.0,0,16903,success,1,12,43,111
146,Lost Lagoon,Vancouver,30,30,30,0.0,0.0,0,14592,success,8,18,53,158
147,Beaver Lake,Vancouver,12,12,12,0.0,0.0,0,9716,success,0,3,11,36
